Front	Back	Tags
illusion	[ˌɪˈluʒən] <br>幻觉，错觉；幻想中的事物 <br><br>【助记】 illus（欺骗）十ion（名词后缀）→欺骗人的东西一错觉	红宝书 必考词 Unit14
illustrate	[ˈɪləˌstreɪt] <br>（用图或例子）说明，阐明；加插图	红宝书 必考词 Unit14
illustration	[ˌɪləˈstreɪʃən] <br><br>【助记】 illustrat（e）（举例，说明）十ion（名词后缀）一例证说明，例证；插图，图解	红宝书 必考词 Unit14
image	[ˈɪmɪʤ] <br>n.形象；肖像，影像，映像②u.反映	红宝书 必考词 Unit14
imagine	[ˌɪˈmæʤən] vt. <br>想象，设想，料想；猜想 <br><br>【助记】 imag（e）（映像）十ine（动词后缀）→想象	红宝书 必考词 Unit14
imaginary	[ˌɪˈmæʤəˌnɛri]	红宝书 必考词 Unit14
imagination	[ˌɪˌmæʤəˈneɪʃən] <br>想象，空想，想象力 →想象的 想象的，虚构的 <br><br>【助记】 imagin（e）（想象）+ation（名词后缀）—想象	红宝书 必考词 Unit14
imaginative	[ˌɪˈmæʤənətɪv] <br>imagin（e）（想象）+ative（形容词后缀）→富有想象力的富有想象力的，爱想象的	红宝书 必考词 Unit14
imitate	[ˈɪməˌteɪt] vt. <br>模仿，仿效；仿造，伪造	红宝书 必考词 Unit14
imitation	[ˌɪməˈteɪʃən] <br>模仿，仿效；仿制，仿制品 <br><br>【助记】 imitat（e）模仿十ion（名词后缀）一模仿	红宝书 必考词 Unit14
lead	[lɛd] <br>u.（led，led）领导，引导；领先，占首位；（to）通向；导致，引起 n.带领，引导 <br><br>【助记】 head（头儿）lead（领号）我们工作	红宝书 必考词 Unit14
leadership	[ˈlidərˌʃɪp] <br>领导，领导层 <br><br>【助记】 leader（领导者）十ship（名词后缀）→领导	红宝书 必考词 Unit14
leading	[ˈlidɪŋ] <br>领导的，指引的；第一位的；最主要的 <br><br>【助记】 lead（领导）十ing（形容词后缀）→领导的	红宝书 必考词 Unit14
legal	[ˈligəl] <br>法律的，法定的；合法的，正当的	红宝书 必考词 Unit14
legislation	[ˌlɛʤəsˈleɪʃən] <br>立法，法律的制定（或通过） <br><br>【助记】 legisiat（e）（立法）十ion（名词后缀）→立法	红宝书 必考词 Unit14
legitimate	[ləˈʤɪtəmət] <br><br>【助记】 legit（合法的）十im十ate（形容词后缀）→合法的合法的，合理的，正统的	红宝书 必考词 Unit14
leisure	[ˈlɛʒər] <br>空闲，闲暇；悠闲，安逸	红宝书 必考词 Unit14
level	[ˈlɛvəl] <br>n.数量；程度；浓度；水平；层次；级别 adj等高的；地位相同的；价值相等的 v.（尤指用枪）瞄准，对准	红宝书 必考词 Unit14
lever	[ˈlɛvər] <br>n.杠杆；控制（操纵）杆，把手；工具；手段②v.用杠杆撬；操纵，控制 <br><br>【助记】 levy（征收）税款使经济lever（杠杆）保 持level（水平）	红宝书 必考词 Unit14
levy	[ˈlɛvi] <br>n.征收，征税 ut.征收，征集，征用	红宝书 必考词 Unit14
manage	[ˈmænɪʤ] <br>经营，管理，处理；设法对付；操纵，运用	红宝书 必考词 Unit14
management	[ˈmænɪʤmənt] <br>经营，管理；管理部门 <br><br>【助记】 manage（管理）十ment（名词后缀）→管理	红宝书 必考词 Unit14
mandate	[ˈmænˌdeɪt] <br>n.（政府或组织等经选举而获得的）权力，授权；（官方的）命令，指令；（政府的)任期 v.（常用被动态）强制执行，委托办理；授权	红宝书 必考词 Unit14
manifest	[ˈmænəˌfɛst] <br>mani（hand手）+fest（形容词、动词后缀表示动作）→手的动作一显示 adj.显然的，明了的 v.显示，表明；表露，显露；证明，证实	红宝书 必考词 Unit14
manipulate	[məˈnɪpjəˌleɪt] vt. <br><br>【助记】 mani（手）+pul（拉）十ate（动词后缀）→手拉→操作（熟练地）操作；（巧妙地）处理；（尤指用权势或不正当手段）操纵，控制	红宝书 必考词 Unit14
manner	[ˈmænər] <br>方式，方法；（pl.）举止，风度；（pl.）礼貌，规矩	红宝书 必考词 Unit14
margin	[ˈmɑrʤən] <br>页边空白；边缘；余地，差额	红宝书 必考词 Unit14
marginal	[ˈmɑrʤənəl] <br><br>【助记】 margin（边缘）十al（形容词后缀）→边缘的记在页边的，边缘的	红宝书 必考词 Unit14
mass	[mæs] <br><br>【助记】 mass（大量）的mask（面具）大量，众多；团，块；(pl.）群众，民众；质量	红宝书 必考词 Unit14
massive	[ˈmæsɪv] <br><br>【助记】 mass（大量）十ive（形容词后缀）→大量的大而重的，厚实的，粗大的；大规模的，大量的	红宝书 必考词 Unit14
massacre	[ˈmæsəkər] <br>n.残杀，大屠杀 ut.残杀，集体屠杀 <br><br>【助记】 mass（大量）十acre（英亩）→在一英亩的地方发现了大量户体→大屠杀	红宝书 必考词 Unit14
occupation	[ˌɑkjəˈpeɪʃən] <br><br>【助记】 occup（y）（占领，占用）十ation（名词后缀）一占用占领，占据，占用；职业，工作	红宝书 必考词 Unit14
occupy	[ˈɑkjəˌpaɪ] vt. <br>占用，占有；使忙于，使从事；占领，侵占；担任（职务），居（某种地位）	红宝书 必考词 Unit14
occur	[əˈkər] v.	红宝书 必考词 Unit14
occurrence	[əˈkərəns] <br>事件，事故，发生的事情；发生，出五（过程） 现，发生 发生，存在，出现；被发现，被想到 <br><br>【助记】 occur（发生，出现）十r十ence（名词）缀)→发生	红宝书 必考词 Unit14
offend	[əˈfɛnd] <br>冒犯，使生气；违犯，违反；使厌恶，不舒服	红宝书 必考词 Unit14
offer	[ˈɔfər] <br>v.提供，提出；呈现，出现 n.提供；出价	红宝书 必考词 Unit14
offset	[ˈɔfˌsɛt] <br>u.（offsetting，offset，offset）补偿抵消②n.补偿，抵消	红宝书 必考词 Unit14
offspring	[ˈɔfˌsprɪŋ] <br>子孙，后代；结果，产物 <br><br>【助记】 off（出来）十spring（春天）→春天孕出来→后代，产物	红宝书 必考词 Unit14
paragraph	[ˈpɛrəˌgræf] <br>段，节；小新闻，短评 <br><br>【助记】 para（类似）十graph（记录结果）→似记录结果一短评	红宝书 必考词 Unit14
parallel	[ˈpɛrəˌlɛl] <br>adj.平行的；类似的，相同的 n.平行线，平行面；相似物，相似处；60 <br><br>【助记】 para（类似）十ll（很像两条平行的 线）十el（后缀）→类似两条平行线平行的，平行线	红宝书 必考词 Unit14
part	[pɑrt] <br>n.部分；片段；一点；成员；成分；器官；部位；组成部分；部件，零件；地区，区域；参加，参与；等份，份 u.离开，分别；分离，隔离；分散，解散 adu.部分地 红宝书 示相似处的比较，比拟；纬线，平行圈	红宝书 必考词 Unit14
partial	[ˈpɑrʃəl] <br><br>【助记】 part（部分）十ial（形容词后缀）→部分的部分的，不完全的；偏向一方的，偏祖的，偏爱的	红宝书 必考词 Unit14
participant	[pɑrˈtɪsəpənt] <br>参加者，参与者 <br><br>【助记】 parti（部分）十cip（take取）十ant（名词后缀，表示人）一→可以取一部分的人→参与者	红宝书 必考词 Unit14
participate	[pɑrˈtɪsəˌpeɪt] <br><br>【助记】 parti（部分）+cip（take取）+ate（动词后缀）→能够取一部分→分享，参考（in）参与，参加；（in，with）分享，分担	红宝书 必考词 Unit14
particle	[ˈpɑrtɪkəl] <br>粒子，微粒；极少量 <br><br>【助记】 parti（部分）十cle（名词后缀，表示小）→小部分→微粒	红宝书 必考词 Unit14
particular	[ˌpɑˈtɪkjələr] <br>adj.特殊的，特别的；特定的，特指的；细致的；苛求的，挑剔的 n.（pl.）详情，细目 <br><br>【助记】 parti（部分）十c十ular（后缀）→部分的特别的	红宝书 必考词 Unit14
partly	[ˈpɑrtli] adv. <br><br>【助记】 part（部分）+ly（副词后缀）→部分地部分地，不完全地	红宝书 必考词 Unit14
partner	[ˈpɑrtnər] <br>n.合作者，伙伴；配偶 ~.结成伙伴，做搭档，配对 <br><br>【助记】 part（部分）+n十er（名词后缀）-把n部分合起来→伙伴	红宝书 必考词 Unit14
passion	[ˈpæʃən] <br><br>【助记】 pass（忍受）十ion（名词后缀）→历经忍受就能进发激情→激情热情，激情；爱好；激怒，大怒	红宝书 必考词 Unit14
passive	[ˈpæsɪv] <br>被动的，消极的 <br><br>【助记】 pass（忍受）+ive（形容词后缀）→被迫忍受的一被动的	红宝书 必考词 Unit14
quick	[kwɪk] <br>adj.迅速的，敏捷的 adu.（置于动词后，等于quickly）迅速地，快	红宝书 必考词 Unit14
quit	[kwɪt] <br><br>【助记】 我quite（非常）想quit（离开）这里停止；放弃；离开；辞去	红宝书 必考词 Unit14
quest	[kwɛst] <br>.寻求，寻找，探索 n.探索，寻找，追求（幸福等）	红宝书 必考词 Unit14
questionnaire	[kˌwɛsʧəˈnɛr] <br>Faith not put into real	红宝书 必考词 Unit14
britain	[ˈbrɪtən] <br>信念不付请子生活实[英	红宝书 必考词 Unit14
quote	[kwoʊt] v. <br>→n个问题一问卷 问卷，征求意见表 <br><br>【助记】 quote（引用）先进的quota（配额）方案引用，引述，援引	红宝书 必考词 Unit14
span	[spæn] <br>跨度，跨距，一段时间	红宝书 必考词 Unit14
spare	[spɛr] <br>adj.多余的，剩下的；备用的，额外的 ut.节约，节省；抽出，让给	红宝书 必考词 Unit14
schedule	[ˈskɛʤʊl] <br>n.时间表，进度表 ut.安排，排定	红宝书 必考词 Unit14
scheme	[skim] <br>v.计划，策划；搞阴谋 n.计划，方案；阴谋，诡计；结构，布局	红宝书 必考词 Unit14
science	[saɪəns] <br>n.科学，学科，自然科学	红宝书 必考词 Unit14
scientific	[ˌsaɪənˈtɪfɪk] <br>科学的，关于科学的；细致严谨的	红宝书 必考词 Unit14
scientist	[ˈsaɪəntɪst] <br>科学家ty means no faith.	红宝书 必考词 Unit14
fuller	[ˈfʊlər] <br>践，等子没有信念。富勒61	红宝书 必考词 Unit14
gallery	[ˈgæləri] <br>画廊，美术馆；长廊，走廊，狭长的房间 本单元重点 表示行为或行为的结果：③表示场所、	红宝书 基础词 Unit14
galaxy	[ˈgæləksi] <br>星系；（theG-）银河（系）；一群（杰出或著名的人物）	红宝书 基础词 Unit14
peel	[pil] <br>v.剥落，脱落；脱衣；削皮，剥皮 n.（水果、蔬菜、嫩枝等的）皮 <br><br>【助记】 peer（英国贵族）peep（偷看）人家peel（脱衣服）	红宝书 基础词 Unit14
peep	[pip] vi. <br>（尤指从小孔等）偷看，窥视 <br><br>【助记】 他坐在jeep（吉普车）里peep（偷看）	红宝书 基础词 Unit14
penalty	[ˈpɛnəlti] <br>处罚，惩罚 <br><br>【助记】 pen（处罚）十alty（名词后缀）→处罚	红宝书 基础词 Unit14
penetrate	[ˈpɛnəˌtreɪt] v. <br>穿透，渗人；识穿，看破；洞察，了解 <br><br>【助记】 penetr（深入）十ate（动词后缀）→使深入→渗入	红宝书 基础词 Unit14
peninsula	[pəˈnɪnsələ] <br>半岛	红宝书 基础词 Unit14
penny	[ˈpɛni]	红宝书 基础词 Unit14
pension	[ˈpɛnʃən] <br>养老金，抚恤金 -age（名词后缀，①表示集合名词、总称 点；④表示状态、情况、身份及其他） 便士，少量的钱	红宝书 基础词 Unit14
people	[ˈpipəl] <br>人民，民众；民族	红宝书 基础词 Unit14
perfume	[pərfˈjum] <br>n.香水，香料，香气 ut.使充满香气，洒香水于 <br><br>【助记】 per（through贯穿）+fume（气体）→香气，香水	红宝书 基础词 Unit14
permanent	[ˈpərmɑˌnɛnt] <br>永久的，持久的 <br><br>【助记】 per（一直）十man（停留）十ent（形容词后缀）→一直停留下去的→永久的	红宝书 基础词 Unit14
permeate	[ˈpərmiˌeɪt] <br>（through）透人，充满，渗透，弥漫	红宝书 基础词 Unit14
permission	[pərˈmɪʃən] <br>允许，同意	红宝书 基础词 Unit14
permit	[ˈpərˌmɪt] <br>[p3：mit]n.通行证，许可证，执照 [pamit]u.许可，允许 <br><br>【助记】 per（通过）十mit（送）→能送过去→通行证	红宝书 基础词 Unit14
quantify	[kˈwɑntɪˌfaɪ] vt. <br>确定····的数量，用数量表示，测量 <br><br>【助记】 quant（数量）十ify（动词后缀）一用数量表示	红宝书 基础词 Unit14
quantitative	[kˈwɑntɪˌteɪtɪv] <br>quantit（y）（数量）+ative（形容词后缀）→数量的 数量的，定量的	红宝书 基础词 Unit14
quantity	[kˈwɑntəti] <br>量，数量；数额（量），目录；大量，大批，众多 <br><br>【助记】 quant（数量）+ity（名词后缀）→数量	红宝书 基础词 Unit14
race	[reɪs] <br>n.竞赛，赛跑；种族，人种 v.竞赛，赛跑；使迅速到达 <br><br>【助记】 race（赛跑）前必须把lace（鞋带）系紧	红宝书 基础词 Unit14
racial	[ˈreɪʃəl] <br><br>【助记】 raci（e）（种族）十al（形容词后缀）→种族的种族的	红宝书 基础词 Unit14
rack	[ræk] <br>n.架子，支架，行李架；（肉体或精神上的)剧烈痛苦 .使（肉体或精神上）受剧烈痛苦，折磨 <br><br>【助记】 rack（支架）在rock（晃动）	红宝书 基础词 Unit14
racket	[ˈrækɪt] <br>喧闹，考验；球拍 <br><br>【助记】 rocket（火箭）发射场地十分racket（喧闹）	红宝书 基础词 Unit14
radio	[ˈreɪdiˌoʊ] <br>n.收音机，无线电，无线电讯，无线电广播②v.用无线电发送讯息 <br><br>【助记】 radi（ray光线）十o（词尾）→通过光线传播→无线电	红宝书 基础词 Unit14
radioactive	[ˌreɪdioʊˈæktɪv] <br>170	红宝书 基础词 Unit14
radius	[ˈreɪdiəs] <br>跃的，起作用的）→放射性的 放射性的，放射引起的 <br><br>【助记】 radi（光线）十us（我们）→光线能照到我们的地方→范围半径（距离）；范围	红宝书 基础词 Unit14
rag	[ræg] <br>n.破（碎）布；（格调低下的）报纸，小报 .嘲笑，愚弄，和·..··开玩笑 <br><br>【助记】 把rage（狂怒）的词尾“e”去掉就是rag（破布）	红宝书 基础词 Unit14
rage	[reɪʤ] <br>（一阵）狂怒，(一阵)盛怒	红宝书 基础词 Unit14
raid	[reɪd] <br>n.袭击，搜查②v.袭击，突然搜查 <br><br>【助记】 遭到raid（袭击）后需要aid（救助）	红宝书 基础词 Unit14
semester	[səˈmɛstər] <br>学期	红宝书 基础词 Unit14
semiconductor	[ˌsɛmɪkənˈdəktər] <br><br>【助记】 semi（half半）十conductor（导体）→半导体半导体	红宝书 基础词 Unit14
seminar	[ˈsɛməˌnɑr] <br>（大学的）研究班，研讨会	红宝书 基础词 Unit14
senate	[ˈsɛnɪt] <br>参议院，上院	红宝书 基础词 Unit14
senator	[ˈsɛnətər] <br>参议员	红宝书 基础词 Unit14
sentence	[ˈsɛntəns] <br>n.句子；判决，宣判②ut.判决，宣判	红宝书 基础词 Unit14
sentiment	[ˈsɛnəmənt] <br><br>【助记】 sent（感觉）+i+ment（名词后缀）→我有感觉→感情情操，情感，情绪，多愁善感；意见，观点	红宝书 基础词 Unit14
session	[ˈsɛʃən] <br>会议，（一届）会议，一段时间	红宝书 基础词 Unit14
sew	[soʊ] <br>缝，缝纫 <br><br>【助记】 sOw（播种）的人把saw（锯开）的东西 再sew（缝合）上	红宝书 基础词 Unit14
shine	[ʃaɪn] <br>音“闪”→闪电会发光→发光 ut.（shone，shone）照耀，发光；擦亮 n.光，光泽	红宝书 基础词 Unit14
shipment	[ˈʃɪpmənt] <br>装船，装运，装载的货物，装载量 <br><br>【助记】 ship（船）十ment（名词后缀）→装运	红宝书 基础词 Unit14
shiver	[ˈʃɪvər] <br>战栗，发抖	红宝书 基础词 Unit14
shock	[ʃɑk] <br>n.震动，冲击，电击；休克 ut.（使）震动，（使）震惊	红宝书 基础词 Unit14
shoot	[ʃut] <br>u.（shot，shot）射击，发射，开（枪），放（炮）；突然迅速地移动；发芽 n.狩猎，狩猎队，狩猎场；嫩枝，幼苗	红宝书 基础词 Unit14
shot	[ʃɑt] <br>开枪，射击；投篮；弹丸，炮弹，子弹	红宝书 基础词 Unit14
shortage	[ˈʃɔrtɪʤ] <br>不足，缺少 <br><br>【助记】 short（短）十age（名词后缀）→缺少	红宝书 基础词 Unit14
shortcoming	[ˈʃɔrtˌkəmɪŋ] <br>短处，缺点 <br><br>【助记】 short（短，缺陷）十coming（到来）→有缺陷到来→短处	红宝书 基础词 Unit14
shorthand	[ˈʃɔrˌthænd] <br><br>【助记】 short（短）十hand（手）→短时间用手写→速记速记	红宝书 基础词 Unit14
shove	[ʃəv] <br>n.[口]推，挤 ut.[口]推挤，猛推；乱放，乱塞	红宝书 基础词 Unit14
temple	[ˈtɛmpəl] <br>庙宇，神殿，寺：太阳穴	红宝书 基础词 Unit14
tempo	[ˈtɛmˌpoʊ] <br>节奏，行进速度；（音乐的）速度	红宝书 基础词 Unit14
tenant	[ˈtɛnənt] <br><br>【助记】 ten（十）只ant（蚂蚁）合在一起就是	红宝书 基础词 Unit14
tenant	[ˈtɛnənt] <br>承租人，房客，佃户	红宝书 基础词 Unit14
tender	[ˈtɛndər] <br>adj.（肉）嫩的；脆弱的；温和的，温柔的，慈爱的；易受感动的；敏感的 .提示，提供；（for）投标 <br><br>【助记】 lender（借款人）是一个tender（温和的）男人	红宝书 基础词 Unit14
tense	[tɛns] <br>n.时态②adj.拉紧的，紧张的	红宝书 基础词 Unit14
tension	[ˈtɛnʃən] <br>张力，拉力；紧张 <br><br>【助记】 tens（e）（紧张的）十ion（名词后缀）→紧张	红宝书 基础词 Unit14
then	[ðɛn] adv. <br>当时，在那时；那么，因而；然后，于是；另外 <br><br>【助记】 then（当时）我在tent（帐篷）里	红宝书 基础词 Unit14
thereafter	[ðɛˈræftər] adv. <br>此后，以后	红宝书 基础词 Unit14
thereby	[ˈðɛrˈbaɪ] adv. <br>因此，从而	红宝书 基础词 Unit14
therefore	[ˈðɛrˌfɔr] <br>adu.因此，所以②conj.因此	红宝书 基础词 Unit14
vest	[vɛst] <br>背心，马甲，汗衫，内衣171	红宝书 基础词 Unit14
veteran	[ˈvɛtərən] <br>老手，老兵	红宝书 基础词 Unit14
veto	[ˈviˌtoʊ] <br>n.否决，否决权，否决权的行使；禁止反对 ut.否决，禁止，反对	红宝书 基础词 Unit14
walk	[wɔk] <br>n.步行，散步，步行道 u.步行，走，散步	红宝书 基础词 Unit14
ward	[wɔrd] <br>n.病房；行政区；受监护人 .保卫，守卫 <br><br>【助记】 给ward（病房）送去慰问card（卡片）	红宝书 基础词 Unit14
wardrobe	[ˈwɔrˌdroʊb] <br>衣柜，衣橱；全部服装，行头（总称） <br><br>【助记】 ward（保卫）十robe（礼服）→保护礼服的地方一衣柜	红宝书 基础词 Unit14
warehouse	[ˈwɛˌrhaʊs] <br><br>【助记】 ware（货物）十house（房子）→放货物的房子→仓库仓库，货栈	红宝书 基础词 Unit14
warfare	[ˈwɔrˌfɛr] <br>战争（状态），斗争，冲突 <br><br>【助记】 war（战争）十fare（成功或不成功）→战争（状态）	红宝书 基础词 Unit14
warmth	[wɔrmθ] <br>暖和，温暖；热心，热情 <br><br>【助记】 warm（温暖的）十th（名词后缀）一温暖	红宝书 基础词 Unit14
warn	[wɔrn] <br><br>【助记】 我warn（警告）你，要做好ward（保卫）工作警告，告诫	红宝书 基础词 Unit14
warrant	[ˈwɔrənt] <br>n.授权，批准，（正当）理由，根据；许172·	红宝书 基础词 Unit14
warranty	[ˈwɔrənti] <br>（商品）保修单 可证，委任状，证书 （或有理）的；需要；值得；保证（某物是 真的），担保，允诺	红宝书 基础词 Unit14
aerial	[ˈɛriəl] <br>adj.空中的，航空的②n.天线 <br><br>【助记】 aeri（空气，充气）十al（形容词后缀）→空气的→空中的	红宝书 基础词 Unit14
affluent	[ˈæfluənt] <br>丰富的，富裕的，繁荣的a:ftawd(z)]adu.···→向后→以后后来，以后 <br><br>【助记】 af（向）+flu（流动）十ent（形容词后缀）→有大量流动的一丰富的，繁荣的 after（在.....·后）十ward（副词后缀，向	红宝书 基础词 Unit14
against	[əˈgɛnst] <br>对（着），逆；反对；违反；靠近，倚在；对比；以·…···为背景[eid3]	红宝书 基础词 Unit14
age	[eɪʤ] <br>n.年龄；时代，时期 .变老，老化，变成熟	红宝书 基础词 Unit14
coach	[koʊʧ] <br>n.（铁路）客车厢，长途汽车；辅导员，教练 .指导，辅导	红宝书 基础词 Unit14
coalition	[ˌkoʊəˈlɪʃən] <br>联合，同盟 <br><br>【助记】 coal（煤）十ition（名词后缀）→有煤才能联合→联合	红宝书 基础词 Unit14
coarse	[kɔrs] <br>粗糙的，粗劣的；粗鲁的，粗俗的	红宝书 基础词 Unit14
cognitive	[ˈkɑgnɪtɪv]	红宝书 基础词 Unit14
inject	[ˌɪnˈʤɛkt] vt. <br>注射，注人 知的 认知的，有关认识的 <br><br>【助记】 in（在…...·里面）十ject（投，扔，射）→在里面射→注射	红宝书 基础词 Unit14
injure	[ˈɪnʤər] v. <br>使受伤；损害，伤害（名誉、自尊等）	红宝书 基础词 Unit14
injury	[ˈɪnʤəri] <br>损伤，损害，毁坏	红宝书 基础词 Unit14
ink	[ɪŋk] <br>n.墨水，墨汁，油墨 给····上油墨；签署，签订（合同等） <br><br>【助记】 把ink（墨水）倒入sink（水槽）里	红宝书 基础词 Unit14
inland	[ˈɪnˌlænd] <br>[inlaend]adj.国内的，内地的，内陆的 [inlaend]adv.在内陆，向内地 <br><br>【助记】 in（在.....里面）+land（陆地）→内陆的	红宝书 基础词 Unit14
blank	[blæŋk] <br>Humilityis the noblest virtt	红宝书 基础词 Unit14
britain	[ˈbrɪtən] <br>真正的谦是崇高的[英	红宝书 基础词 Unit14
blanket	[ˈblæŋkɪt] <br>adj.空白的，空着的；失色的，无表 情的②n.空白，表格 <br><br>【助记】 blank（空白的）加上词尾“et”就是	红宝书 基础词 Unit14
blanket	[ˈblæŋkɪt] <br>n.毯子，毛毯；（of）厚（的覆盖）层 v.（以厚层）覆盖，笼罩 adj.全面的，包含所有的，适用于所有情形的	红宝书 基础词 Unit14
light	[laɪt] <br>n.光，光亮，光线；灯，灯光，光源 u.（lit，lit；lighted，lighted）点（火），点燃；（使）变亮，照亮 adj.轻的；轻松的；（颜色）淡的 <br><br>【助记】 night（夜晚）light（灯光）很重要	红宝书 基础词 Unit14
lightning	[ˈlaɪtnɪŋ] <br>n.闪电 adj.闪电般的，快速的e,is the mother ofvirtue <br><br>【助记】 light（光，光亮）十n十ing（后缀）→闪电，闪电般的	红宝书 基础词 Unit14
tennyson	[ˈtɛnɪsən] <br>美德，是美德之母。丁尼生	红宝书 基础词 Unit14
and	[ənd] <br>min（伸出，突出） 本单元重点	红宝书 必考词 Unit15
es	[ɛs] <br>-hood（名词后缀，表示性质、状-wise（构成形容词和副词，以·	红宝书 必考词 Unit15
acclaim	[əˈkleɪm] <br>n.喝彩，欢呼；（尤指对艺术成就的）誉，高度评价②ut.称赞，赞扬 <br><br>【助记】 ac（强调）十claim（呼喊）→称赞	红宝书 必考词 Unit15
accommodate	[əˈkɑməˌdeɪt] <br>使适应，使符合一致；调和（分歧等）；助，给…···提供方便；向······提供住（或膳宿）；容纳，接纳 <br><br>【助记】 ac（强调）十com（全部）十mod（方法 十ate（动词后缀）→使用全部的方→帮助	红宝书 必考词 Unit15
accompany	[əˈkəmpəni] v. <br>陪伴，伴随；为···伴奏（或伴唱）	红宝书 必考词 Unit15
accomplish	[əˈkɑmplɪʃ] v. <br>达到（目的），完成（任务），实现（计戈诺言等）；做到，做成；走完（距离等度完（时间）62	红宝书 必考词 Unit15
nit	[nɪt] <br>令） emo（人民，人们）付，粘）态）mod（方式，方法，模式，模样）…方式朝·方向，在·方面关于 红宝书 <br><br>【助记】 cracy（统治或政体）	红宝书 必考词 Unit15
account	[əˈkaʊnt] <br>n.账，账目，账户，账单；（of）描述，叙述 u.认为，视为；（for）说明，解释；（for）占（一定数量或比例） <br><br>【助记】 ac（加强）十count（数数）→必须反复数数→账目	红宝书 必考词 Unit15
accountant	[əˈkaʊntənt] <br>会计（员），会计师；账房，出纳 <br><br>【助记】 account（账目）十ant（名词后缀表示人）一管理账目的人一会计	红宝书 必考词 Unit15
bias	[baɪəs] <br>n.偏见；偏重②ut.使有偏见，偏向	红宝书 必考词 Unit15
bid	[bɪd] <br>祝愿；命令，吩咐；出价，投标	红宝书 必考词 Unit15
bill	[bɪl] <br>账单；招贴，广告；法案；单子，清单，（人员、职称等的）表；钞票	红宝书 必考词 Unit15
billion	[ˈbɪljən] <br><br>【助记】 bill（账单）十ion（名词后缀）→十亿 D（美）十亿，（英）万亿	红宝书 必考词 Unit15
birth	[bərθ] <br>出生，分娩；出身，血统	红宝书 必考词 Unit15
charge	[ʧɑrʤ] <br>.要（价），收（费）；使充电，使充满；控告，指控②n.负荷，电荷；价钱，费用	红宝书 必考词 Unit15
charm	[ʧɑrm] <br>n.（pl.）美貌，妩媚；魅力，魔力 .使陶醉，迷住；对··.··施魔法	红宝书 必考词 Unit15
chase	[ʧeɪs] <br>n.追逐，追求②ut.追逐，追求	红宝书 必考词 Unit15
demand	[dɪˈmænd] <br>ut.要求；查问②n.要求，请求 <br><br>【助记】 de（加强）+mand（order命令）→反复命令→要求。	红宝书 必考词 Unit15
democracy	[dɪˈmɑkrəsi] <br>民主，民主制；民主国家 <br><br>【助记】 demo（人民）十cracy（统治）→由人民统治→民主	红宝书 必考词 Unit15
democratic	[ˌdɛməˈkrætɪk] <br>民主的 <br><br>【助记】 demo（人民）十crat（主张·...统治的 人）十ic（形容词后缀）→主张由人民统治的→民主的	红宝书 必考词 Unit15
demographic	[ˌdɛməˈgræfɪk] <br>人口统计学的，人口统计的	红宝书 必考词 Unit15
demonstrate	[ˈdɛmənˌstreɪt] <br>论证，证明；（用实验、实例等）说明，教，表明；示范，宣传（产品的）用法（或优点）；游行，示威 <br><br>【助记】 de（完全）十monstrate（show展示）→全部展示→示范	红宝书 必考词 Unit15
denote	[dɪˈnoʊt] <br>表示；是·····的标志；意思是	红宝书 必考词 Unit15
denial	[dɪˈnaɪəl] <br><br>【助记】 把dental（牙齿的）中间的“t”换成“i” 就是denial（否认）否认；拒绝，拒绝给予	红宝书 必考词 Unit15
deny	[dɪˈnaɪ] vt. <br>否定，否认	红宝书 必考词 Unit15
department	[dɪˈpɑrtmənt] <br><br>【助记】 de（强调）十part（部分）十ment（名词后缀）→分成各个部分→部门，部，局，处部，局，处；系，学部	红宝书 必考词 Unit15
depend	[dɪˈpɛnd] <br>（on）取决于，依靠	红宝书 必考词 Unit15
dependent	[dɪˈpɛndənt] <br>依靠的，依赖的；取决于··.的 <br><br>【助记】 depend（依靠）十ent（形容词后缀）→依靠的	红宝书 必考词 Unit15
deposit	[dɪˈpɑzət] <br>u.使沉积；存放；将（钱）存人银行；付（保证金） n.沉淀物；存款；保证金 <br><br>【助记】 de（往下）+pos（put放置）+it（它）→把它往下放置→使沉淀	红宝书 必考词 Unit15
depress	[dɪˈprɛs] <br>使沮丧，使消沉；使不景气，使萧条；按下，压下 <br><br>【助记】 de（加强）十press（压）→加大压力→使沮丧，压下	红宝书 必考词 Unit15
emerge	[ˈimərʤ] <br>出现，浮现	红宝书 必考词 Unit15
emergency	[ˈimərʤənsi] <br><br>【助记】 emerg（e）（出现）十ency（名词后缀，表示性质、状态）→出现危机→紧急情况紧急情况，突然事件，非常时刻	红宝书 必考词 Unit15
eminent	[ˈɛmənənt] <br>（指人）著名的，杰出的，卓越的；（指品质、特性）明显的，突出的 <br><br>【助记】 e（外）十min（突出）十ent（形容词后缀）→能在外面表现突出的→杰出的	红宝书 必考词 Unit15
emotion	[ˈiˌmoʊʃən] <br>63。	红宝书 必考词 Unit15
fear	[fɪr] <br>ut.害怕，畏惧②n.害怕，担心 情绪，情感 <br><br>【助记】 在野外hear（听）到bear（熊）的叫声令 人fear（害怕）	红宝书 必考词 Unit15
fearful	[ˈfɪrfəl] <br>担心的：可怕的 <br><br>【助记】 fear（害怕）十ful（形容词后缀）→可怕的	红宝书 必考词 Unit15
feature	[ˈfiʧər] <br>特征，特色；特写	红宝书 必考词 Unit15
